TAG=human-standing-white-head
TS=2019-08-18-12:53:36
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=24
BACKGROUND_TEMP=17.5

2019-08-18 12:53:39 1566129219 14.5 15.5 18.7 22.5 centre-node
15 15 15 16 16 15 15 15 
16 16 16 16 15 15 14 14 
16 15 17 17 16 16 15 15 
16 16 19 20 16 16 16 15 
16 18 22 20 16 16 15 16 
15 16 18 18 16 15 15 16 
16 16 16 16 16 15 15 16 
14 16 16 15 15 15 15 15 


diff
 1  0  1  1  1  1  1  1
 1  1  1  1  1  1  0  0
 1  1  2  2  1  1  1  0
 2  2  4  5  2  1  1  0
 1  3  8  5  2  1  1  1
 1  2  4  4  2  1  0  1
 1  1  1  2  1  0  0  1
 0  2  2  1  1  0  1  1
