2019-08-14 20:56:30 1565812591 13.0 13.0 13.2 13.8 centre-node
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 14 14 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 


13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 14 13 13 13 13 
13 13 13 14 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 

diff
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  1  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0

 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  1  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
