2019-08-14 21:56:30 1565816190 15.2 16.0 17.0 19.8 centre-node
16 15 16 16 16 16 16 16 
16 16 16 16 15 16 16 16 
16 16 16 16 16 16 16 16 
16 16 16 18 17 16 16 16 
16 16 16 20 17 16 16 16 
16 16 17 17 16 16 16 17 
15 15 15 16 16 16 16 16 
16 16 16 16 16 16 17 16 


16 15 16 16 16 16 16 16 
16 15 16 16 16 16 16 15 
16 15 17 16 16 16 16 16 
16 16 17 20 18 16 16 16 
16 16 16 17 17 16 15 16 
16 16 16 16 16 16 16 16 
17 16 16 16 16 16 16 16 
16 16 17 16 16 16 16 16 

diff
 1  0  0  0  0  0  0  0
 1  0  1  0  0  0  0  1
 1  1  1  1  1  1  0  1
 1  1  1  2  2  1  1  1
 0  0  1  4  2  1  1  1
 0  0  2  2  1  1  1  2
 0  0  0  1  1  1  1  1
 0  0  0  0  0  1  2  1

 0  0  0  0  1  1  1  1
 0  0  0  0  1  1  0  0
 0  0  2  1  1  1  1  0
 0  1  2  4  2  1  0  0
 0  1  1  2  2  1  0  0
 1  1  1  1  1  1  0  0
 2  1  1  1  1  0  0  0
 1  1  2  1  1  1  1  0
