2019-08-14 22:50:44 1565819444 15.8 19.6 23.7 24.2 centre-node
16 16 16 16 16 16 16 16 
16 17 20 20 19 18 16 16 
18 20 20 22 22 20 17 16 
20 20 20 22 22 22 18 17 
21 23 22 22 22 22 20 17 
20 23 24 24 23 22 19 17 
18 23 24 24 24 22 17 17 
17 18 20 22 19 17 17 17 


17 18 20 21 20 18 16 16 
18 23 23 23 20 20 17 16 
20 24 24 22 20 20 20 16 
22 24 24 22 22 22 20 16 
19 24 23 22 22 22 19 16 
17 22 22 22 22 20 18 16 
17 17 19 20 18 17 16 16 
17 17 17 17 17 16 16 16 

diff
 1  0  1  1  1  0  0  0
 0  2  4  4  3  2  1  1
 2  5  5  6  6  4  1  0
 4  4  4  6  6  6  3  2
 5  8  6  6  6  6  4  1
 4  8  8  8  8  6  3  1
 2  7  8  8  8  6  1  2
 1  2  4  6  3  1  1  1

 1  2  4  5  4  2  0  1
 2  7  8  8  4  5  2  0
 4  8  8  6  4  5  4  1
 6  8  8  6  6  6  4  1
 3  8  8  6  6  6  3  1
 1  6  6  6  6  4  2  0
 1  1  3  4  3  1  1  0
 1  2  1  1  2  0  1  0
