2019-08-14 22:28:24 1565818105 14.5 15.5 17.8 19.5 centre-node
15 14 15 15 16 15 15 15 
15 15 15 16 15 16 16 16 
15 16 15 16 15 16 16 15 
15 16 16 16 16 16 16 15 
15 16 18 20 16 16 16 16 
15 16 18 18 16 16 16 16 
16 16 15 16 16 16 16 16 
16 15 16 16 15 16 16 15 


16 16 15 15 15 15 15 15 
15 16 16 16 16 16 15 14 
16 15 18 18 16 15 15 15 
16 16 18 20 16 16 16 15 
15 16 16 16 16 15 15 16 
16 16 16 16 16 16 16 15 
16 16 16 16 16 16 16 15 
15 16 16 16 15 15 16 15 

diff
 1  0  0  0  1  0  1  1
 1  0  1  1  0  1  1  2
 0  2  0  1  0  1  1  1
 1  1  2  2  2  1  1  1
 0  2  4  5  1  2  1  1
 1  1  4  4  2  1  2  2
 1  1  1  2  2  1  2  1
 1  1  1  1  0  1  2  0

 1  1  1  0  1  0  1  1
 1  1  1  2  1  2  0  0
 1  1  4  4  2  0  1  0
 1  2  4  5  2  1  1  0
 0  2  2  1  2  0  0  1
 1  1  1  2  1  1  1  0
 2  2  2  1  1  1  1  1
 0  1  2  1  1  1  2  1
