2019-08-14 20:57:03 1565812624 13.0 13.0 13.0 13.0 centre-node
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 


13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 
13 13 13 13 13 13 13 13 

diff
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0

 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0
