TAG=img-proc-human-target-poc
TS=2019-08-16-14:11:36
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=
BACKGROUND_TEMP=18.2

2019-08-16 14:11:42 1565961102 16.0 17.0 22.7 25.5 centre-node
18 17 17 17 17 16 16 16 
19 19 17 17 16 17 17 17 
26 23 20 16 17 24 18 17 
25 22 21 17 17 18 17 16 
21 22 20 17 17 17 16 17 
18 18 17 17 17 16 17 16 
18 16 17 17 16 16 16 16 
18 17 17 16 17 16 16 16 


diff
 2  1  1  1  1  0  0  0
 3  3  1  1  0  1  1  1
10  7  4  0  1  8  2  1
 9  6  5  1  1  2  1  0
 5  6  4  1  1  1  0  1
 2  2  1  1  1  0  1  0
 2  0  1  1  0  0  0  0
 2  1  1  0  1  0  0  0
