TAG=img-proc-human-target-poc
TS=2019-08-16-14:12:50
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=
BACKGROUND_TEMP=18.2

2019-08-16 14:12:56 1565961176 15.0 15.8 20.8 22.2 centre-node
16 15 16 16 16 16 16 16 
16 15 15 16 16 16 16 16 
16 15 16 15 16 22 17 16 
19 18 17 16 16 18 16 16 
21 21 17 16 16 16 16 16 
22 21 17 16 16 16 16 15 
20 19 16 16 16 15 15 15 
18 17 16 16 16 15 15 16 


diff
 1  0  0  1  1  0  1  0
 0  0  0  0  1  1  1  1
 1  0  1  0  2  7  2  1
 4  2  2  1  1  2  2  0
 6  6  2  1  1  0  0  0
 7  6  2  1  1  0  0  0
 5  4  1  1  1  0  0  0
 3  2  1  0  0  0  0  0
