TAG=img-proc-human-target-poc
TS=2019-08-16-13:53:51
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=
BACKGROUND_TEMP=18.2

2019-08-16 13:53:57 1565960037 14.8 15.6 22.0 23.5 centre-node
16 18 24 22 20 16 15 15 
16 19 22 22 21 17 16 16 
15 17 20 20 18 22 17 16 
16 15 17 16 16 18 16 15 
16 16 16 16 16 15 15 16 
16 15 16 16 16 15 15 15 
15 16 16 16 15 15 15 15 
16 16 16 15 16 16 16 15 


diff
 2  3  9  8  5  2  0  0
 1  4  8  7  6  2  1  1
 0  2  6  5  4  7  2  1
 1  0  2  1  1  3  1  0
 1  1  2  1  1  0  0  1
 1  0  1  1  1  0  0  0
 0  1  1  1  0  0  0  0
 1  1  1  0  1  1  1  0
