TAG=img-proc-human-target-poc
TS=2019-08-16-14:12:25
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=
BACKGROUND_TEMP=18.2

2019-08-16 14:12:31 1565961152 15.2 16.0 22.8 26.0 centre-node
16 16 16 16 16 17 16 16 
16 16 18 21 19 17 16 16 
16 19 24 26 23 22 18 16 
16 18 22 24 21 18 16 16 
15 16 17 17 17 16 16 16 
16 16 16 16 16 16 16 16 
15 16 16 16 16 16 16 16 
16 16 16 16 16 16 16 16 


diff
 0  1  1  1  1  2  0  1
 0  1  3  6  4  2  1  0
 0  4  9 11  8  6  2  0
 1  3  6  9  6  3  1  1
 0  1  2  2  2  1  1  0
 0  0  1  1  0  0  0  1
 0  0  1  1  1  1  0  0
 0  1  1  0  0  0  0  0
