TAG=img-proc-human-target-poc
TS=2019-08-16-13:53:26
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=
BACKGROUND_TEMP=18.2

2019-08-16 13:53:32 1565960013 15.2 16.8 23.0 25.0 centre-node
17 16 16 16 16 16 16 16 
16 16 20 18 17 16 16 16 
17 18 24 22 18 23 18 16 
18 20 25 24 18 18 17 16 
17 19 23 22 18 16 16 16 
16 17 20 19 17 16 16 15 
16 16 17 17 17 16 16 16 
17 16 17 17 16 16 16 16 


diff
 2  1  1  1  1  1  1  1
 1  1  4  3  2  1  1  0
 2  3  9  7  2  8  3  1
 2  4 10  9  3  3  2  0
 2  4  8  6  2  1  1  1
 1  2  4  4  2  1  1  0
 1  1  2  2  2  1  0  0
 2  1  2  2  1  0  1  0
