TAG=img-proc-human-target-poc
TS=2019-08-16-14:12:37
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=
BACKGROUND_TEMP=18.2

2019-08-16 14:12:43 1565961164 15.2 16.2 23.1 26.0 centre-node
16 16 17 17 16 16 16 16 
16 17 18 20 18 17 16 16 
16 19 24 26 23 22 18 16 
17 18 22 25 22 18 16 16 
16 16 17 17 17 16 15 16 
16 16 16 17 16 16 16 16 
16 16 16 16 16 16 16 16 
16 16 16 16 16 16 16 16 


diff
 1  1  2  2  1  1  1  1
 1  2  3  5  3  2  1  1
 1  4  9 11  8  6  2  1
 2  3  7 10  6  3  1  0
 0  1  2  2  2  0  0  0
 1  1  1  2  1  0  1  0
 1  0  1  1  0  0  0  0
 0  1  1  0  1  0  0  0
