TAG=human-prone-side
TS=2019-08-18-12:35:17
HOSTNAME=centre-node
HEIGHT=230
TARGET_TEMP=31
BACKGROUND_TEMP=17.5

2019-08-18 12:35:20 1566128121 13.0 14.2 17.8 18.5 centre-node
14 14 14 14 14 14 14 14 
14 14 14 14 14 14 13 14 
14 14 14 14 14 14 14 13 
15 15 16 15 15 14 14 14 
17 18 18 18 18 14 14 14 
15 15 14 16 16 14 14 14 
15 14 15 15 15 14 14 14 
14 14 14 14 14 14 15 14 


diff
 1  1  1  1  1  1  0  0
 1  1  1  1  1  1  0  0
 1  1  1  2  2  1  1  0
 2  2  3  2  2  1  1  1
 4  6  6  5  5  1  0  1
 2  2  2  3  2  1  1  1
 2  1  2  2  2  1  1  1
 2  2  2  2  1  1  2  1
